,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
topic_1,0.14031199,-0.14781211,0.19922869,0.05111157,-0.05528498,0.34709096,-0.033738256,-0.15120383,0.02455536,0.07507742,-0.02089635,0.02274051,-0.099882826,-0.10536799,0.017838964,0.00023993474,-0.05033994,0.0023965908,0.012002423,0.08662113,-0.2046831,0.08663462,0.23545371,-0.13740075,0.11339923,0.04817201,0.0026008124,0.0331571,0.06703142,0.46224216,0.07910713,-0.14341089,1.0224943,-0.070534855,0.01181419,0.009441613,-0.076082826,0.01308122,-0.746411,-0.047084924,0.12806737,0.06865088,0.010730384,-0.016611153,-0.73529714,-0.12767121,0.0074228533,0.029338963,0.18194112,0.021571482,0.018945264,0.003972681,0.13751975,-0.00042635022,0.0041790553,0.16416524,-0.04978211,-0.05680428,-0.5419593,-0.012671434,0.020698158,0.028540788,0.14668648,0.81758386,0.09934194,0.04182595,0.005910144,-0.48102626,-0.026372949,0.0023207641,0.049673744,0.05614916,0.13407245,0.034846883,-0.0024562709,-0.4844873,0.08746943,0.003977136,0.18129024,0.027114715,-0.10843784,-0.82260597,0.053210694,0.38578567,-0.042333588,0.055560622,-0.0830864,0.045542218,0.09194648,0.2034868,-0.085472055,0.3538916,-0.038526718,0.15071553,-0.06659975,-0.13372788,-0.015208547,0.03485203,0.08169114,-0.16216947,-0.066689655,-0.17227863,-0.016134009,0.6256087,-0.14610966,-0.029032651,-0.1643747,0.054922808,0.024554545,0.2707299,-0.0021186785,-0.023387505,-0.02249515,-0.71579576,-0.26369017,-0.089731105,-0.05496549,0.036319647,0.038535964,0.34438413,-0.04923142,-0.122372285,-0.04345542,-0.34177437,0.07688468,-0.032901786,-0.1687857,-0.060977235,0.08350691,-0.1414993,-0.13875465,0.028558247,0.022263061,0.0013345823,-0.08039873,-0.03134264,0.02921827,-0.12131926,0.21604474,0.084802486,-0.0988453,-0.06740596,4.980592e-05,-0.01819405,0.012543217,-0.020094967,0.8994831,-0.010858043,0.9109563,0.045422256,-0.03115038,-0.1324838,-0.16763628,0.24196148,0.046014473,0.12649284,-0.26401138,0.08866718,-0.017534237,-0.4477722,-0.23448448,-0.13230267,0.37665814,0.0796116,0.12738149,0.30517533,-0.134299,0.024347315,-0.4037081,-0.016198643,-0.08814422,0.005064333,-0.036844082,0.008913701,-0.087080725,0.084361695,0.10161212,0.021351635,0.22046606,-0.13676135,-0.0017755192,-0.059346188,-0.3376321,0.36793852,0.017048445,-0.07094226,-0.07488625,0.27179995,-0.079805955,0.016088583,0.11417529,0.58566284,-0.021946607,0.8169382,-0.33241582,-0.17743786,-0.0032864115,0.065397084,1.2742748,-0.026090048
topic_2,-0.23471405,-0.0632775,1.0965685,0.013601976,-0.011295835,-0.06580232,0.110360965,0.0005275302,-0.0523721,-0.20569333,0.03543008,-0.051336028,0.048914436,0.079863526,-0.1425252,0.0403923,0.05595759,-0.0024102505,-0.21877772,-0.03208697,-0.007974027,0.1771252,0.060919754,0.056425538,-0.46476677,-0.061169907,0.05573007,0.032724638,0.096122585,0.13512862,0.0041640843,-0.45088917,0.52038544,-0.070191465,-0.03223751,-0.089424595,-0.054419223,-0.12263814,-0.7540367,0.029592695,-0.047777068,0.14268456,-0.095975615,-0.103484474,-0.30892023,-0.017862944,-0.025975127,0.06890873,0.17846742,0.039010473,0.25940228,0.07451611,-0.13766944,0.08216536,0.03939965,-0.033287775,-0.14830755,-0.057969805,1.1218812,0.022902556,0.3315494,-0.109979995,0.039964516,-0.034838893,0.03258314,0.88276845,-0.06702527,0.21851926,0.09126698,-0.057552397,0.00988286,-0.031344995,-0.0010900004,0.073351406,-0.49866742,-0.259062,0.0060769385,-0.1976646,0.005680217,-0.023772024,0.18820876,-0.4277818,0.085542165,0.36460033,-0.10216006,-0.057401586,0.12079297,-0.01732673,-0.017043624,0.049972,-0.016145922,0.25620735,-0.14733829,-0.11762021,-0.03375342,0.028910974,0.06682769,-0.0030859965,-0.026999407,-0.11636547,0.0334018,0.07421615,0.05985832,0.62458974,0.36257437,0.055376187,0.077872306,-0.094868496,0.082103156,0.2955923,0.18680799,-0.14290579,-0.42217726,-0.722584,0.026255846,-0.029002449,-0.060198616,0.1671623,-0.02972445,0.9116042,-0.16316721,-0.24961902,0.04477536,0.032868538,0.012419159,-0.025242759,0.23579048,-0.00507352,0.16674697,0.11988865,0.15991692,0.0037596603,0.0038304988,0.09104437,0.088802576,-0.0015328439,-0.6137247,-0.041256078,0.037985288,-0.05253451,0.06878143,-0.059999254,0.020069517,0.043662194,-0.059588328,0.081831396,0.42139074,-0.020883728,0.22277735,-0.23352274,0.03709423,0.10268335,-0.21863021,0.0569061,0.02291921,-0.0037774316,0.13635467,0.48343432,-0.036654584,-0.09752798,0.6038398,-0.4391818,-0.007831428,-0.009336444,0.5703089,-0.07652835,0.07108823,0.045355942,0.2942853,-0.053084455,0.018225346,0.18552805,-0.0051426725,0.12782829,-0.13381025,-0.10446124,-0.07929576,-0.012434669,-0.08179373,-0.14946464,0.20229585,1.1994654,-0.21812777,0.24308856,-0.05288989,0.022768615,-0.0069290297,-0.6398833,-0.12804666,-0.14995256,0.024057347,0.47663525,-0.013392707,0.6565521,-1.6342638,-0.03642898,0.026613828,-0.096385874,-0.44950852,0.13444126
topic_3,-0.20708293,0.07722574,-0.05148054,0.0076185567,0.11686584,-0.19493327,-0.011135711,0.011573678,-0.057433035,0.045646474,-0.14972208,-0.080235384,-0.053100616,-0.08894256,0.025374876,0.16441758,-0.0074641416,0.10883316,-0.23805356,0.5036321,-0.71231264,0.10771311,-0.52835035,-0.06974042,-0.056661945,0.02697302,0.031625733,0.022009935,0.34579825,0.4340352,-0.13618697,-0.088998586,-0.040216744,0.0621857,-0.053301718,0.1537701,-0.7026784,-0.15399532,0.17092578,-0.015949458,0.010076943,0.35489398,-0.042398684,-0.15385364,1.0107058,0.190753,0.21281989,-0.37618056,0.039624088,-0.026917756,-0.09637748,-0.07778762,0.3414589,-0.040992368,0.013941572,0.6549481,0.32407036,0.017763432,0.44533458,0.039073594,0.36338472,-0.15099743,-0.013838513,1.093479,-0.011449564,0.3019772,-0.2943445,-0.20385312,0.6619616,0.025980435,-0.0573535,-0.289679,0.32879108,-0.008935539,0.2479834,0.5057799,0.34419614,-0.09554157,-0.015023129,-0.10511335,-0.12248785,0.43239412,-0.20933633,-0.5178444,0.070859686,-0.09864468,0.17455895,0.027662577,-0.023221524,0.19677196,-9.50826e-05,-0.57715327,-0.101411454,0.007131504,-0.03513238,0.4988892,0.0930555,0.25055254,0.30704978,0.17915551,-0.17157812,-0.24628496,0.024517657,-0.59834474,-0.21467589,-0.16875245,-0.17935757,0.022960098,0.13410826,-0.22061218,-0.40442955,0.12271526,0.21036628,0.34384525,-0.06633235,-0.51514965,-0.2812702,0.30988917,0.6470408,0.91275567,0.68334794,-0.06567737,-0.14260595,0.25514245,0.054273967,0.04468872,0.24431919,-0.09758261,-0.3487716,0.19538398,-0.7065274,-0.4782129,-0.107010804,-0.0107140485,-0.10858103,0.3895178,-1.0905976,0.037370834,-0.055083234,-0.01889461,-0.15710716,-0.44466028,0.09850336,0.028305933,-0.10168204,0.22072375,0.1458928,0.07792057,-0.025369812,0.1769769,0.073601805,0.09194738,-0.23910725,0.033218227,0.37264955,0.17714247,0.2945058,-0.5645974,0.16493289,0.0133681735,0.34449238,0.054486755,-0.07076423,0.14344221,0.22432347,0.029770961,-0.0009593541,0.3394653,0.10062515,-0.09167216,-0.056353472,-0.4611104,0.23240829,-0.103791215,0.026459761,-0.14891599,0.21468748,-0.0038486198,-0.11310081,0.55171126,0.072172284,-0.05193005,0.23260985,0.015083369,0.06780496,-0.2537704,-0.50972104,0.13095385,-0.07912933,0.19309174,0.05380499,0.007871852,-0.0119751785,-0.50417423,-1.096914,0.26128075,0.03350622,0.18187244,-0.11555289,-0.01575366
topic_4,0.5113457,-0.093615636,-0.700375,-0.009209203,-0.034386564,-0.057216432,0.04374066,0.07592751,0.03224683,0.056811962,-0.11637817,0.0057436796,0.03953064,0.04063487,-0.1260815,-0.009822778,0.007430311,0.08733923,0.04693055,0.12089389,0.16494876,0.20603102,0.15410553,-1.0813696,-0.037800573,0.018596144,-0.0042358614,0.40294218,-0.7868482,0.6059102,0.07927122,-0.04276748,-0.16948022,-0.007617958,0.08775409,0.12875551,-0.52288467,0.008763662,-0.14398874,0.026009103,0.040326253,-0.13646679,-0.040956262,0.18711688,-0.2472773,-0.017281756,0.012857665,0.16118273,-0.50554425,0.013357675,0.03078483,0.07068126,-0.0033204926,-0.15835522,-0.16403265,-0.4669665,-0.110024795,-0.08047342,-1.2541507,0.03449653,0.28008038,-0.002450357,-0.0029659683,-0.94461274,0.11342392,-0.725902,0.018656442,-0.10388346,-0.07228894,0.0015906901,0.041566473,-0.088074945,-0.00055861956,0.19418614,0.074115284,-0.20365486,0.015592939,-0.008078693,0.016517706,-0.023299543,-0.042246014,0.23651698,0.028814778,-0.20086579,-0.03202614,-0.07838728,-0.070152044,-0.036490776,0.21516955,-0.09113523,-0.17014717,-0.003660199,0.07358565,0.1427932,0.08015681,-0.15727796,-0.004059335,0.008578731,-0.18724847,-0.059227806,-0.0025292782,-0.0018429047,0.088040344,-0.16909322,-0.08030252,0.0073719225,-0.037707064,-0.057351444,0.17209975,-0.21420296,-0.04853754,0.063091725,-0.18964243,0.031978793,-0.035817202,-0.014912663,0.007868442,-0.02113676,0.20629983,-0.45229906,0.040932484,0.36578915,-0.09878448,-0.35318026,0.013980622,-0.22189936,-0.03631054,0.033258587,0.43961155,-0.060127206,0.32593197,0.2817813,-0.051508956,-0.0014339035,0.030388772,-0.050063528,0.7004259,-0.01764797,-0.36831367,-0.029708054,0.069784865,0.026497748,0.1334088,0.031932727,0.03248691,0.086938724,-0.06541727,-0.004740395,0.20485952,0.009762554,-0.011102397,-0.4473766,0.35118988,-0.0026701202,-0.25807095,0.0278474,0.14932878,-0.46583351,-0.026259094,0.72990215,-0.12445528,0.082819365,-0.034958687,-0.023628028,-0.02604625,-0.026009386,0.07780391,-0.053755898,-0.5126272,0.016149113,-0.33987412,0.10058087,0.03403204,0.033748228,-0.7283389,-0.028053403,-0.029460656,-0.21145499,-0.46461228,0.038617663,-0.035979606,0.019136151,-0.031502374,-0.7985686,0.0061700917,-0.042544045,-0.100372724,0.38652143,-0.06271501,-0.044578955,-0.05240082,0.118733786,-0.05313866,-0.15244024,0.911494,-0.02103422,-0.034033194,-0.052134205,-0.0032439814,0.0781312
topic_5,-0.8735352,0.05416062,0.023737984,-0.024870671,-0.13095173,0.09572498,-0.10861758,-0.11094823,-0.0017944642,0.12532802,0.039285615,0.020677028,-0.068657584,-0.047146663,0.02646176,-0.10460083,0.0077000293,-0.06213457,0.08183841,-0.051933054,0.1706299,-0.07142985,-0.5668418,-0.3976241,-0.10597249,0.03771473,0.01207496,0.0012537319,0.11925883,0.017121905,-0.14679109,0.030251794,-0.41773936,0.04737177,-0.04383825,-0.006235644,0.06973471,0.0116584515,0.48024806,-0.11555377,0.031181501,-0.08951404,0.032225225,-0.013963278,0.015131093,-0.012410121,0.033829283,0.1589161,0.34409803,-0.11171767,0.030021988,-0.18184866,-0.4434021,-0.21459511,-0.010721204,-0.2909099,-0.02664303,0.0029958815,-0.07214508,-0.045140833,-0.11929879,-0.0014737714,0.042384416,-0.019963194,0.0019188595,-0.18275575,-0.10161092,-0.23855156,0.33840534,0.014995115,-0.013936747,0.32132196,-0.029709453,-0.038558383,0.06754371,0.04591574,-0.035825018,-0.2931597,0.12240107,0.06120252,0.3348244,0.09656052,0.007554858,-0.3376878,-0.041153,-0.089098655,0.045164645,0.12316689,-0.06835173,0.03295141,-0.077231064,-0.22253919,-0.017641703,-0.066604726,-0.1494682,0.076987855,0.10315511,0.093596175,0.10525345,-0.36401817,0.19524574,-0.04163403,-0.10938227,-0.15197608,0.03472861,-0.040800028,0.11010776,-0.0721089,-0.056382626,-0.47548366,0.046705466,-0.18645127,0.41372675,0.5184311,0.093630195,0.002567216,-0.26654238,-0.24829067,-0.2686385,-0.00482775,-0.0030175329,-0.5396409,0.11939785,-0.5088194,0.264384,0.09317752,-0.41182786,0.09118182,0.02865143,0.19321592,0.025147349,0.0019478607,0.035391696,0.059636183,-0.10956083,-0.051098328,0.932323,0.023060368,-0.119585514,0.01235692,0.058367558,0.030342704,-0.043096002,-0.05193367,0.066076815,-0.19387221,-0.20185176,-0.11095371,-0.21326892,-0.073834084,0.033739857,0.063863344,-0.6791439,0.06127787,0.028850349,0.028745126,-0.11935384,0.66555005,-0.005808702,-0.29527846,-0.15660335,-0.046936616,0.027487155,0.059111573,-0.10458576,0.07957111,-0.094428115,-0.14854005,-0.028370053,-0.087682426,-0.015466936,-0.15275986,-0.018063636,-0.05997885,0.2735663,-0.008077091,-0.0041869394,-0.009692654,0.43674853,0.12094375,-0.14734441,0.09143389,-0.006093963,0.015015022,-0.03678501,-0.004634394,-0.12603003,-0.3237642,-0.38173494,-0.10562543,0.025887607,-0.14974388,-0.0062010065,-0.33107886,0.38938606,-0.02233072,0.06235768,0.002886185,1.1232654,0.12686367
topic_6,-0.28539455,0.1381721,-0.09442547,-0.10239136,0.04067564,0.11407428,0.07954966,0.11274979,-0.05392068,0.27823213,0.05326072,-0.030349838,0.0937993,-0.0023965177,0.005119006,0.18002608,0.005026517,0.043281015,-0.060406607,-0.03747468,-0.068108864,0.08360213,0.267888,0.55710655,-0.50684935,-0.011054845,-0.042700287,-0.08337941,0.19925731,-0.45783028,-0.1424396,0.20484333,1.0547799,0.18916501,-0.043361552,-0.12954625,0.04248405,0.081268065,-0.7023138,-0.051285863,-0.20820512,-0.015639255,-0.025304781,-0.003451682,0.2516151,0.29186532,-0.039796777,-0.17292826,0.30037707,0.0070202765,0.061550856,-0.04795123,-0.35054058,0.11866219,-0.021750413,0.2572399,0.109467536,0.020430172,-0.39061648,0.07094923,-0.34581512,-0.14544214,0.017298967,0.8605734,-0.1233276,-0.10805871,-0.05689124,-0.23640905,0.028205384,0.049754217,0.12054113,-0.026924435,-0.074484386,-0.06593077,-0.012331093,-0.23421752,-0.10355323,-0.01673476,-0.27530438,-0.020278998,-0.019707644,-0.7331185,-0.09882475,0.57893264,-0.05838647,-0.16016729,0.03611514,0.008489715,-0.26180348,-0.011625094,0.13103652,0.2521215,-0.039379004,-0.08133388,-0.0041885427,0.4024497,-0.050745226,0.057317074,-0.058140185,-0.13238278,0.24845721,0.081316456,-0.0013623538,0.6308089,0.06924455,-0.095386185,0.13769814,0.0037127375,0.035683967,0.078896135,0.053868413,0.020409036,0.18134682,-0.64369476,0.29906195,0.21958569,-0.015515049,-0.045845095,-0.10108276,0.38402918,0.14802837,0.023638004,0.054726373,0.30945694,-0.1406335,0.5597166,-0.009350516,-0.107326776,-0.372462,0.023887895,0.38118258,-0.0067319507,-0.11505676,0.061868254,-0.013128674,0.21454395,0.032581095,0.07280255,0.34810486,-0.029072728,-0.0587694,0.0051078317,-0.010172592,0.113938525,-0.17218912,0.076221235,0.7090897,0.07003358,0.45010245,-0.13753755,0.14042582,-0.06407096,-0.08135305,-0.16889694,0.13570216,-0.21737568,0.15628552,-0.027939104,0.028011192,-0.15580018,-0.4621928,0.026914159,-0.054650746,-0.14788015,-0.22896981,0.021301836,0.17188594,0.11087479,0.085736565,-0.06941094,0.111978345,-0.20527075,0.009032164,0.08741105,-0.14721587,0.019026369,-0.08161345,-0.014546565,-0.069023676,-0.25470793,-0.08958021,-0.44518983,-0.39846542,-0.029513989,-0.120923415,0.15895595,-0.16074876,-0.10200708,-0.03924837,0.086755745,0.09646205,-0.076206565,0.015447021,0.83301467,0.082232796,-0.23919117,0.13226072,0.06264224,0.9822584,-0.015729677
topic_7,0.7151595,0.13072543,0.03386182,0.024861757,0.16541904,-0.28297982,-0.021954138,-0.03967695,-0.08391388,-0.06486305,-0.036801755,-0.08056508,-0.087673575,-0.06298617,0.10606818,0.20910023,-0.02579821,0.0026107952,-0.0023823245,0.0774521,-0.08041052,-0.038719658,0.59934545,0.049615074,-0.34490535,-0.054517187,0.038143035,-0.07508127,0.054666854,-0.10563475,-0.16699702,-0.085128285,-0.37368086,-0.057370592,-5.6999736e-05,0.03391732,0.10882704,0.048012193,-0.05239739,0.031751335,0.081722975,0.037001133,-0.062071353,-0.09480419,0.064013,0.07020391,-0.04079473,-0.10403243,0.37009215,-0.0023338138,-0.08994386,0.04091931,0.1696827,-0.0952733,0.0954361,0.16667163,-0.08901458,-0.021473657,-0.02313513,-0.018112442,-0.13389872,-0.1137659,0.10040805,0.45994,0.22579524,0.20170091,0.076921165,0.33865696,-0.08552656,-0.03401804,-0.053260308,0.36002213,-0.010759706,-0.09023698,0.07176452,-0.17154454,-0.057564374,0.044759672,-0.06830278,0.10574324,0.23499607,-0.081219904,-0.11328489,0.45419917,0.020496465,0.026531637,-0.061532125,0.03660044,-0.04794443,-0.03234204,0.0803354,0.40244707,0.14286211,0.1011546,0.025906857,0.06218845,-0.08902082,-0.048008777,-0.004503978,-0.0121122245,0.021893138,-0.04920783,-0.06332622,0.068675704,-0.02990751,-0.095330365,-0.18866014,0.058728255,-0.08284603,0.15052524,-0.05480136,0.026442096,-0.0784015,-0.17325455,-0.06912272,0.010844366,0.12495113,-0.10396191,0.5762161,0.06744537,0.12943614,-0.6792227,0.040073045,-0.15459526,0.007683375,0.13682719,0.20328511,0.01387258,-0.046125047,0.04636846,0.48199284,-0.112482585,-0.029872904,0.009649742,-0.08081011,0.0002950846,-0.6576982,-0.10684515,-0.30064693,0.03164058,-0.20500179,-0.004312249,0.06762418,0.026922897,0.38895652,0.1834639,-0.49783522,0.060020015,-0.733116,-0.008259432,-0.067652464,0.7546886,0.5080163,0.011338677,0.17141686,-0.0570122,0.43840963,0.5827107,-0.027461106,0.20918882,0.8111677,-0.18300468,0.012538576,0.06006916,0.15488058,0.068107426,-0.06109323,0.14613667,0.10215652,0.06482041,0.091050796,-0.061204646,-0.08777663,-0.10920282,0.057650276,-0.03218352,-0.018424176,0.010419461,0.09353507,-0.6613151,-0.16670738,0.91899914,0.18619062,0.8806573,0.15178324,0.07057327,0.11245963,-0.76658845,0.07274228,0.100847766,0.15482284,0.055811405,-0.02130504,0.26661748,-0.103426725,0.023961438,0.026895216,0.23622686,-0.32805917,-0.010586445
topic_8,0.1370002,-0.042613555,-0.7607042,0.13120906,-0.3095244,0.18801382,0.010990619,-0.25311577,0.14746732,0.046935,-0.012607403,0.11553571,-0.09767702,0.18828177,-0.0066782366,-0.1984133,-0.16834183,-0.15720436,0.13757847,0.002648413,0.012917057,0.09405606,-0.03083294,-0.6306524,0.19348802,-0.11669159,-0.08795675,0.18664424,-0.4379528,0.2925618,0.22772638,-0.34225473,-0.3522006,-0.031369515,-0.094153784,-0.110995255,0.2907543,0.20975731,0.097772196,0.15177806,-0.10854935,-0.10145758,-0.10337766,0.16376789,-0.38416535,-0.007892825,-0.26093957,0.20961002,-0.45081314,-0.026667774,0.098059684,0.010056748,0.31003216,0.014532779,-0.19140857,0.18165809,0.05835393,-0.18256941,-1.2196285,-0.038021483,0.07645636,0.17041162,-0.16216053,0.008103825,0.19923422,-0.4605543,0.073289104,-0.021398598,-0.2824085,0.14294216,-0.15690535,-0.29402995,-0.20054275,0.16945256,-0.024858244,0.09392117,-0.29766586,-0.1145285,0.010549576,-0.18219456,-0.18752208,0.10179355,0.22773659,-0.22433466,0.060221534,0.275342,0.1469998,0.05416006,-0.17661045,-0.305568,0.024110071,0.012570309,0.21400385,-0.22186607,0.056446094,-0.30149722,-0.11372391,0.17781313,-0.1268074,0.17021564,-0.19218922,0.121355526,0.21855937,-0.07497758,-0.19079128,0.16463093,0.005390603,-0.03184028,0.0594967,0.028572999,0.17434642,-0.18090083,-0.083411194,0.116274,-0.17044918,-0.3827779,0.23355444,0.148447,-0.33576885,-0.5720422,0.050627332,0.5318776,-0.17309655,0.48005307,-0.01680355,-0.22333297,0.43503538,0.24333838,0.09160121,0.117609344,0.17000148,0.36545154,0.05014755,0.14614512,0.15316568,-0.2567354,0.3783663,0.17217202,-0.37123474,-0.03940874,-0.40091902,0.26268676,0.20426159,0.2173956,-0.33481303,0.04005401,-0.3841465,-0.08138371,-0.08690529,-0.2197782,0.17690593,-0.5944054,-0.24143042,-0.37566712,-0.26131192,0.04965593,-0.04599716,-0.62536526,0.16327517,0.1531004,-0.030769384,0.32660833,0.2495902,-0.15802377,-0.42582998,-0.27349213,0.20946325,0.112771414,-0.41386962,-0.1974734,-0.09376124,0.30939484,0.19333886,0.029036865,-0.34084225,0.18122628,-0.13368258,-0.14836739,0.02164591,0.00328577,0.21347377,-0.14256269,-0.06237536,-0.9034521,0.041773237,-0.015042404,-0.48814362,0.48531774,0.14205305,0.18183029,-0.042545643,-0.16134842,0.15416996,-0.17863062,1.1762158,0.2710588,-0.26549822,-0.23687392,-0.15013786,0.09526484
topic_9,0.27386105,-0.104980014,-0.12307918,0.15148914,-0.10648569,0.17555116,0.07236504,-0.031865492,0.12869094,0.049623393,-0.007850599,0.19038153,-0.26358652,0.04636945,0.05758106,0.025610363,-0.068190016,-0.075066164,0.013186533,0.048052907,-0.017343316,0.20254213,0.30253834,-0.049034987,0.17537692,-0.10690057,-0.23239918,0.116583325,0.07493702,0.07929683,0.045284666,-0.028644424,0.71849394,0.2363379,-0.16053544,-0.07177255,-0.2601859,-0.037375905,-0.25359884,0.14627051,-0.11385544,-0.0909121,0.1959606,-0.007188212,-0.020807214,-0.19618656,-0.18849829,-0.011034164,-0.05073164,0.09893885,0.15263142,0.2571517,0.08448413,0.2870731,0.04642558,0.024170674,0.09626875,-0.23543033,-0.31575137,-0.006635823,0.22831443,0.17001852,-0.051637165,0.29401723,0.03464558,-0.13813719,0.19894807,-0.20909397,-0.017736264,0.029516498,-0.17163053,-0.118911214,-0.19620726,0.025648799,-0.004043117,-0.39997467,-0.18176867,-0.007983045,0.09401746,-0.14347547,0.21995935,-0.4251871,0.120925605,0.41820857,-0.05559855,0.06705867,0.08604865,-0.08657886,-0.2767101,-0.20911197,-0.19920178,0.4826088,0.069677524,-0.07660663,-0.060746573,-0.12914154,0.012178877,0.25862002,-0.12623641,0.014732362,-0.030980118,0.046195026,0.20085497,0.6477675,0.05496166,-0.024336724,0.13876104,0.0554941,0.06994443,0.38436824,0.2573872,-0.20989805,0.02022374,-0.19812553,-0.13952465,-0.18599722,0.042962722,-0.022675456,0.8489786,-0.3227508,-0.13944936,0.13639316,-0.025582725,-0.05030766,-0.2711705,-0.05808445,0.10961806,0.09632248,0.016954472,-0.053421725,0.453981,0.31767824,0.09950758,0.09724561,0.14471845,-0.16662024,0.2617087,0.10025007,-0.09640364,0.0020479003,-0.20024541,0.18325928,0.0092996415,0.2873273,-0.17852557,0.16029865,0.67433554,-0.21477649,0.7174427,-0.14222132,0.20784433,-0.16742735,0.17015669,-0.07274106,-0.06892574,0.010893116,-0.13599028,-0.119062975,0.13232951,0.20865408,-0.48998293,-0.1565391,-0.0214541,-0.054111645,-0.2656683,-0.117549844,0.09182965,0.29566234,-0.2631206,-0.16399272,-0.028180446,0.05841785,0.14254878,0.0039569945,-0.2842612,0.24247468,0.023326665,-0.066424415,-0.096240304,-0.29033315,0.11208728,-0.6291368,-0.3399914,-0.6663061,0.11348263,0.3723589,-0.15600191,0.23237889,0.093319155,0.21118194,-0.18666932,-0.27741683,0.038138315,0.5159086,0.29413438,-0.06112577,-0.12346817,-0.21319468,-0.58028793,0.1840857
topic_10,-0.80121875,-0.07883351,0.2127872,-0.027542451,0.047007103,-0.23529391,-0.08196811,-0.013104188,-0.11583864,-0.31658313,-0.14408179,0.029924447,-0.07320278,-0.0084043695,0.078479335,-0.060630925,-0.08657344,-0.0017519781,-0.016755143,0.07521808,-0.07249764,0.078153126,-0.7184099,0.17727625,0.09564411,0.07062788,0.07145346,0.122882515,0.15725698,-0.08321629,0.18733522,-0.17542009,-1.1141012,0.057028458,-0.02713804,0.010766301,0.02446886,0.16718125,0.6329666,0.012191174,0.020322397,0.015210983,-0.063584395,-0.12490959,-0.5713229,-0.16023761,-0.06848494,0.05757866,0.43417048,0.008145748,0.043555096,0.065993674,0.21387245,-0.04476833,0.02957399,0.25082707,0.0036861345,0.03529226,-0.211847,0.08218641,0.0075455653,-0.07928783,-0.05368194,-0.4379936,0.02338395,0.16716787,0.10016499,0.5886756,-0.024501165,0.025046201,0.0002184956,0.059957247,-0.1682108,0.0018888977,-0.031241754,0.58782506,0.026933946,0.043707874,-0.11865649,-0.047024243,0.1873128,0.34192464,-0.031126872,-0.82344776,-0.10164048,0.11344906,-0.02613648,0.025824856,-0.050783377,-0.012445318,-0.042012155,-0.5158759,-0.017733924,0.006777091,0.07486994,-0.004258554,-0.15827504,-0.22631194,0.09237546,0.081305,-0.15508942,0.018187001,0.024407104,-0.4124698,0.26455438,-0.005875731,0.023675336,-0.17642014,-0.052683126,-0.6760045,0.032832775,0.15850139,0.011294568,0.40807465,-0.105568,0.19874308,0.019830525,-0.053957544,-0.36080095,0.1570312,0.048334207,-0.41565207,-0.031485464,0.18354787,0.019848412,0.10061808,0.026926672,0.26081452,-0.15130417,0.0020555356,0.43145883,0.11586726,0.028705765,-0.114609145,-0.088281594,-0.008800312,-0.04856824,-0.021836884,-0.051548384,-0.01790869,-0.079468824,-0.15055029,0.1824609,0.24880916,0.7690412,0.14251412,-0.76377255,-0.049519956,-0.89156973,-0.02012527,-0.0017770776,0.107319236,-0.5457649,-0.16096036,0.023671487,-0.05738579,0.18860821,0.32874423,-0.028731504,-0.115364805,0.64193064,-0.03944249,0.07251872,-0.22358133,0.33280873,0.00016035662,-0.0033797247,-0.04420301,-0.040997438,-0.24601983,0.052038196,0.3977499,-0.13959752,0.04460965,0.8187727,-0.12856817,0.033906337,-0.093938164,0.31467804,0.354178,-0.049423978,0.5477587,0.20806733,0.20255914,0.0924251,0.08817796,1.5234894e-05,-0.049450904,-0.04408214,0.003798176,-0.048455875,-0.11893666,-0.018033877,-0.56573796,0.68228054,0.0039823186,-0.13587242,0.07654794,0.26586118,-0.045685805
